Product Name, Product Code, IMEI or Serial Numbers, Expected, Counted
Mouse,63920719,,146,10000
mango,72782608,,1430,10000
Earphone,85415108,,101,10000
Baby doll,31261512,,72,10000
lychee,38314290,,171,10000
potato,212132,,50,10000
iphone-X,97103461,11101/11102/11103//7001,29,10000
Galaxy S9,72100265,,25,10000
Shoe,90471412,,14,10000
Polo Shirt,53467102,,14,10000
Toothpaste,8.59875E+11,,10,10000
tissue,8.94116E+12,,16,10000
T-shirt,93475396,,2,10000
T-shirt,93475396,,5,10000
T-shirt,93475396,,3,10000
Test variant,81145830,,2,10000
TV,32703342,,8,10000
testvar,32081679,,1,10000
Napa,41930312,,18,10000
Napa,41930312,,3,10000
Napa,41930312,,2,10000
Denim Jeans,19243053,,5,10000
iphone-X,97103461,,1,10000
Cotton Punjabi,82490498,,0,10000
Cotton Punjabi,82490498,,1,10000
Iphone 14,17628500,,9,10000
Iphone 14,17628500,,10,10000
Iphone 14,17628500,,10,10000
